Model,Option_Code,Option_Desc,Material_Cost
X761,1AT,Narvik Black,27.42
X760,VSAZ,Gloss Black trim finisher,26.74
X761,1AB,Corris Grey,26.27
X761,B28U,"Power fold, heated door mirrors with approach lights",26.16
L405,1AB,Corris Grey,25.73
L405,1BC,Scotia Grey,25.43
L494,1AH,Montalcino Red,24.83
X152,C13A,Front Parking Aid,24.58
X761,F97A,Heated steering wheel,24.58
X351,H75A,PRIVACY GLASS,24.45
X152,B28R,"Power fold, heated door mirrors",24.39
X152,F97A,Heated steering wheel,23.95
X760,D53C,Chrome side window surround,23.88
X260,D07J,Electrically Adjustable Steering Column,23.66
L494,064FM,Configurable Interior Mood Lighting,23.64
X351,BAOX,PORTFOLIO TRIM: MINERAL/CIRRUS,23.63
X761,C13A,Front Parking Aid,23.61
X761,C55R,"19"" 5 spoke 'Style 5037' with Gloss Black finish",23.57
X260,C11A,Rear Parking Aid,23.33
X260,C54C,"17"" 9 Spoke 'Style 9005'",23.11
X152,Z93N,Exterior Black Design Pack,23.01
X260,1AV,Caesium Blue,22.96
L494,033BV,Heated Front Seats,22.92
X351,BAPF,AUTOBIOGRAPHY TRIM: NAVY/CIRRUS,22.79
L405,032DV,Heated steering wheel,22.64
X761,B16F,Silver roof rails,22.59
X260,H72D,Lane Keep Assist and Driver Condition Monitor,22.49
X351,C88G,FOUR ZONE CLIMATE CONTROL,22.49
X351,BAPG,AUTOBIOGRAPHY TRIM: JET/LONDON TAN,22.47
X761,1AM,Loire Blue,22.19
L405,079AJ,Carpet mats,22.04
X152,C59A,Driver Condition Monitor,21.76
X351,1AV,CAESIUM BLUE,21.52
X761,1AF,Firenze Red,21.31
L405,033SB,Grained leather seat Style 2,21.18
L405,1AU,Carpathian Grey,21.09
L494,080AD,Silver contrast roof,20.74
L494,079AJ,Carpet Mats,20.38
X761,F05D,Activity Key,20.37
X351,1AM,DARK SAPPHIRE,19.98
L494,032FB,Heated Leather Steering Wheel,19.9
X760,Z28A,CONVENIENCE PACK,19.48
X761,G36B,350mm front brakes,19.32
X152,G48S,Bright metal pedals,19.26
X761,H40A,Rear seat remote release levers,19.06
X760,H69H,Carpet mats,18.97
L494,063AH,Roller Loadspace Cover,18.92
X351,H75B,CLEAR GLASS,18.74
X152,1AC,Indus Silver,18.59
X152,F96V,Flat-bottom leather steering wheel,18.59
L405,1AJ,Aruba,18.47
X761,1AU,Carpathian Grey,18.16
X760,C52L,"18"" 5 split-spoke 'Style 5029' with Diamond Turned finish",18.12
X260,H69H,Carpet Mats,17.82
X260,D07J,Electrically Adjustable Steering Column,17.69
X760,G12V,,17.66
X760,1AM,Loire Blue,17.51
X260,G36B,350mm Front Brakes,17.42
X351,1AJ,INGOT,17.25
X351,BAPB,AUTOBIOGRAPHY TRIM: TRUFFLE/CASHEW,17.14
X152,1AM,Loire Blue,17.01
L494,1AL,Aintree Green,17
L494,031CG,Auto-Dimming interior rear view mirror,16.53
X152,F04B,Keyless Entry,16.42
X351,1AB,AMMONITE GREY,16.38
X760,C53D,"17"" 5 spoke 'Style 5032'",16.34
X760,1AT,Narvik Black,16.13
L405,029XR,"19"" 5 split-spoke 'Style 501' with Satin Dark Grey finish",15.94
X761,C54Q,"18"" 10 spoke 'Style 1021'",15.76
X761,A03B,Smoker's Pack,15.71
X351,BAPC,AUTOBIOGRAPHY TRIM: JET/IVORY,15.48
X351,B78A,LED REAR READING LIGHTS,15.31
X761,B51A,Digital Audio Broadcast (DAB) radio,15.28
X152,1AU,Carpathian Grey,15.14
L494,519SV,SVO Paint Pallete,15.11
L405,1AH,Montalcino Red,14.98
L494,1AQ,Yulong White,14.88
X351,C45C,"19"" ALEUTIAN",14.66
L494,025JB,Digital Audio Broadcast (DAB) Radio,14.33
X760,1AV,Caesium Blue,14.06
X761,1AV,Caesium Blue,13.92
X152,Z93L,Black Exterior Pack,13.57
X760,VSAU,Satin Grey Ash veneer,13.44
X760,1AU,Carpathian Grey,13.43
X260,1AT,Narvik Black,13.37
X351,BAPE,AUTOBIOGRAPHY TRIM: MINERAL/IVORY,13.19
X351,BAPD,AUTOBIOGRAPHY TRIM: JET BORDEAUX,13.05
X760,VSAW,Satin Grey Figured Ebony veneer,12.92
X260,B68B,Auto-Dimming Interior Rear View Mirror,12.88
X260,A03B,Smoker's Pack,12.83
X760,G36B,350mm front brakes,12.81
X152,Z01P,INTERIOR BLACK PACK,12.4
L494,080EE,Grey contrast roof,12.27
X760,VSAY,Satin Burr Ash veneer,12.08
X152,1AB,Corris Grey,12.07
X351,1BN,GALLIUM SILVER,11.97
X260,1AM,Loire Blue,11.66
X260,1AB,Corris Grey,11.64
X761,B16D,Gloss Black roof rails,11.27
X761,C54F,"20"" 5 split-spoke 'Style 5036'",11.03
L494,078CB,Paddle Shift,10.91
X351,1AU,STORM GREY,10.87
X351,1AL,BRITISH RACING GREEN,10.8
L494,029XR,"19"" 5 split-spoke 'Style 501' with Satin Dark Grey finish",10.77
L494,074MQ,Bright Pack,10.73
L405,080AN,Black contrast roof,10.63
X760,1AQ,Yulong White,10.46
L494,1BC,Scotia Grey,10.46
X760,1AB,Corris Grey,10.32
L494,080AN,Contrast Roof - Narvik Black,10.28
X760,C53B,"17"" 7 split-spoke 'Style 7010'",9.89
L405,051AJ,Bright Sport pedals,9.85
X260,B23H,Lockable Cooled Glovebox,9.79
X260,1BN,Silicon Silver,9.75
L494,047AB,Privacy Glass,9.57
X260,G48S,Bright Metal Pedals,9.47
X760,C52T,"19"" 5 split-spoke 'Style 5071'",9.39
X760,D42R,Rain sensing windscreen wipers,9.29
X351,C52H,"20"" FARALLON - GLOSS BLACK",9.28
X260,C89A,Air Quality Sensor,9.22
X152,1AT,Narvik Black,9.2
X760,B68B,Auto-dimming interior rear view mirror,9.2
X351,1AQ,GLACIER WHITE,9.2
L494,051AJ,Bright Sport Pedals,9.18
X260,1AU,Carpathian Grey,9.16
X260,C53O,"18"" 5 Split-Spoke 'Style 5033' with Gloss Black Finish",9.14
X152,C51E,"19"" 7 split-spoke 'Style 7013'",7.97
X260,B68B,Auto-Dimming Interior Rear View Mirror,7.67
X351,BAOQ,PREMIUM LUXURY TRIM: TRUFFLE CASHEW,7.66
X152,Z93M,Exterior Design Pack,7.36
X761,F31A,Metal loadspace scuff plate,7.35
X351,1AH,ODYSSEY RED,7.35
X260,C53R,"18"" 5 Spoke 'Style 5034'",7.3
X152,C10Y,Black brake calipers,7.1
L494,1AR,Waitomo Grey,6.83
L405,025JB,Digital Audio Broadcast (DAB) Radio,6.74
X760,D72B,Additional power sockets,6.73
X761,B23H,Lockable cooled glovebox,6.71
L405,047AB," Privacy glass (fitted to rear doors, qtr light and rear windscreen) with laminated hydrophobic front door glass.",6.65
L494,1BN,Silicon Silver,6.56
X351,VSAN,GLOSS FIGURED EBONY,6.53
L494,115AP,Twin-blade sunvisor with illuminated vanity mirrors,6.41
X260,H75A,Privacy Glass,6.4
X351,VRGR,SATIN ROSEWOOD,6.39
X351,BAOR,PREMIUM LUXURY TRIM: OYSTER/IVORY,6.34
X152,C89A,Air Quality Sensor,6.21
X152,F57C,Sunvisors with vanity mirrors,6.15
X761,C54R,"18"" 10 spoke 'Style 1018'",6.07
X260,1AQ,Yulong White,6.01
X351,C52F,"19"" SUNDA",5.94
X761,B68B,Auto-dimming interior rear view mirror,5.79
X260,B05H,No Derivative and/or Engine Badge,5.7
X761,C89A,Air Quality Sensor,5.64
L405,088IA,Terrain Response 2,5.54
X152,F95R,R branded flat-bottom leather steering wheel,5.3
X152,H69L,Sport carpet mats,5.22
X152,1BN,Silicon Silver,5.17
X760,B05H,No derivative and/or engine badge,5.12
X351,C51S,"18"" MANRA",5.1
X761,H75A,Privacy glass,5.09
X760,1BN,Silicon Silver,4.95
X351,1AR,TEMPEST GREY,4.92
X760,H75A,Privacy glass,4.71
X351,VPFB,PIANO BLACK,4.5
X152,1AL,British Racing Green,4.45
X760,C89A,Air Quality Sensor,4.14
L405,094AA,Smoker's Pack,4.12
L494,1AG,Santorini Black,4.04
X351,B75Z,DELETE REAR BADGING,4.02
L405,080XH,Atlas side vent graphic,3.9
X260,Z93L,Black Pack,3.63
L405,074LX,"Dark Atlas exterior accents pack 1 (front and rear bumper accents, door and fender accents, side vents and front bumper outboard blades)",3.56
L405,095CB,All Terrain Progress Control (ATPC),3.45
X760,VSAR,Dark Satin Brushed Aluminium trim finisher,3.44
X760,VSAS,Etched Aluminium trim finisher,3.17
X351,A03B,FRONT ASHTRAY & CIGAR LIGHTER,3.13
X761,B05H,No derivative and/or engine badge,2.99
X260,C53S,"18"" 7 Split-Spoke 'Style 7011'",2.99
X152,1AQ,Yulong White,2.8
L494,1BF,Faralon Black,2.58
L405,029SD,"21"" 10 spoke 'Style 101'",2.52
X760,1AG,Santorini Black,2.38
L494,039BB,Extra-large additional washer bottle,2.34
X260,D72B,Additional Power Sockets,1.96
X760,HPDB,Ebony headlining,1.94
X760,HAMT,Light Oyster headlining,1.89
X152,1AG,Santorini Black,1.85
X152,B71V,Knurled Aluminium centre console,1.74
L405,033YY,Extended interior trim palette,1.68
X351,BAPL,R-SPORT TRIM: JET/IVORY WITH JET STITCH,1.62
X260,HPDB,Ebony Headlining,1.6
X351,BAOU,PORTFOLIO TRIM: TRUFFLE/CASHEW ,1.57
X351,1AX,AURORA RED,1.55
X351,BAOV,PORTFOLIO TRIM: JET/IVORY,1.53
X351,BAON,LUXURY TRIM: TRUFFLE/CASHEW ,1.47
L405,039BB,Extra large additional washer bottle,1.46
X260,1AX,Rossello Red,1.46
X152,F97Z,Non-heated steering wheel,1.45
X761,HPDB,Ebony headlining,1.36
X351,1BF,COSMIC BLACK,1.33
X260,HAMT,Light Oyster Headlining,1.31
X351,1AG,ULTIMATE BLACK,1.27
X152,F96P,SVR branded suedecloth steering wheel,1.22
X351,BAOW,PORTFOLIO TRIM: OYSTER/IVORY,1.03
X351,BAMS,XJR TRIM: JET/IVORY DUOTONE,0.99
L405,074LY,"Dark Atlas exterior accents pack 2 (front and rear bumper accents, door and fender accents and front bumper outboard blades)",0.86
X152,B65D,Configurable Ambient Interior Lighting,0.86
X260,1AG,Santorini Black,0.77
X761,H69K,Premium carpet mats,0.7
X152,S65L,Switchable Active Exhaust,0.52
L405,033QE,Tailgate Event Seating - Ebony,0
L405,030NT,Auto High Beam Assist (AHBA),0
L405,011AE,InControl™ Secure for Warranty period,0
X761,B73G,Adaptive Surface Response (AdSR),0
X760,H69K,Premium carpet mats,0
X152,D91A,Auto High Beam Assist (AHBA),0
X152,RCHX,Red seat belt,0
L494,030NT,Auto High Beam Assist (AHBA),0
L405,079CH,Figured Macassar loadspace floor,0
X351,BAPA,AUTOBIOGRAPHY TRIM: JET/JET,0
L405,033QR,Tailgate Event Seating - Tan,0
X760,VSAQ,Meshed Aluminium trim finisher,0
X260,B41T,Perforated Grained Leather Seats with Contrast Stitching,0
X351,BAOS,PREMIUM LUXURY TRIM: JET/LONDON TAN,0
X351,C89A,AIR QUALITY SENSING WITH AUTO AIR RECIRCULATION,0
X760,VSER,Embossed Aluminium trim finisher,0
X260,C53G,"20"" 5 Split-Spoke 'Style 5036' with Gloss Dark Grey Diamond Turned Finish",0
X351,BAMR,XJR TRIM: JET/JET WITH LONDON TAN STITCH,0
X351,BAOP,PREMIUM LUXURY TRIM: JET/JET,0
X351,BAOM,LUXURY TRIM: JET/JET,0
X761,H72D,Lane Keep Assist and Driver Condition Monitor,0
X351,D44A,INCONTROL SECURE FOR WARRANTY PERIOD,0
X351,BAMT,XJR TRIM; JET/RED DUOTONE,0
X152,1AA,Fuji White,0
X761,D44A,Secure Tracker,0
X760,D44A,Secure Tracker,0
X260,D44A,Secure Tracker,0
X152,D44A,Secure Tracker,0
L494,011AE,InControl Secure for Warranty Period,0
X351,BAPK,R-SPORT TRIM: JET/JET WITH RED STITCH,0
X760,G75A,Configurable Dynamics,0
X761,G75A,Configurable Dynamics,0
X761,1AC,Indus Silver,0
L405,1AC,Indus Silver,0
X351,BAMQ,XJR TRIM: JET/JET WITH RED STITCH,0
L494,1AB,Corris Grey,0
X351,BAOZ,PORTFOLIO TRIM: JET/LONDON TAN,0
X760,1AA,Fuji White,0
X260,1AA,Fuji White,0
X152,C88H,Two-zone Climate Control,0
L494,1AA,Fuji White,0
X260,H69K,Premium Carpet Mats,0
X351,BAMU,XJR TRIM: JET/LONDON TAN DUOTONE,0
X761,B41P,Perforated grained leather seats,0
L494,005BJ,Ebony Morzine headlining,0
X351,BAOY,PORTFOLIO TRIM: NAVY/NAVY,0
X351,BAOT,PORTFOLIO TRIM: JET/JET,0
X351,C52J,"20"" VENOM - GLOSS BLACK",0
L405,005BJ,Ebony Morzine headlining,0
L405,080AD,Silver contrast roof,0
L494,1AP,Kaikoura Stone,0
X351,1AA,POLARIS WHITE,0
X152,HLFZ,Grey headlining,0
X351,HPFD,JET HEADLINING,0
X152,B73K,Configurable Dynamic Mode,0
